idx	rngSTR	rngEND	AUTHOR	TITLE	JOURNAL	MEDLINE	PUBMED	REMARK
1	1	16000	BJKIM	Honeybee Conservation Project	Unpublished	MEDLINE	PUBMED	REMARK
2	1	16000	BJKIM	Honeybee Conservation Project	Unpublished	MEDLINE	PUBMED	REMARK
3	1	16000	BJKIM	Honeybee Conservation Project	Unpublished	MEDLINE	PUBMED	REMARK
4	1	16000	BJKIM	Honeybee Conservation Project	Unpublished	MEDLINE	PUBMED	REMARK
5	1	16000	BJKIM	Honeybee Conservation Project	Unpublished	MEDLINE	PUBMED	REMARK
6	1	16000	BJKIM	Honeybee Conservation Project	Unpublished	MEDLINE	PUBMED	REMARK
7	1	16000	BJKIM	Honeybee Conservation Project	Unpublished	MEDLINE	PUBMED	REMARK
8	1	16000	BJKIM	Honeybee Conservation Project	Unpublished	MEDLINE	PUBMED	REMARK
9	1	16000	BJKIM	Honeybee Conservation Project	Unpublished	MEDLINE	PUBMED	REMARK
10	1	16000	BJKIM	Honeybee Conservation Project	Unpublished	MEDLINE	PUBMED	REMARK
