UCSC_igenome	mm10
Fam150a	Alkal1
3110035E14Rik	Vxn
Tceb1	Eloc
Gm15386	Defb41
Linc-md1	Lincmd1
4933415F23Rik	Ppp1r14bl
4931408C20Rik	Spata31e2
Gm597	Spata31e5
4931428L18Rik	Alyreffm1
Pih1d3	Dnaaf6rt
Gm5415	Semp2l1
2010300C02Rik	Cracdl
1500015O10Rik	Ecrg4
Kdelc1	Poglut2
Sdpr	Cavin2
Tmem194b	Nemp2
9430016H08Rik	Maip1
Sgol2a	Sgo2a
Fam126b	Hycc2
Als2cr12	Flacc1
Als2cr11	C2cd6
Gpr1	Cmklr2
March4	Marchf4
1700027A15Rik	Teshl
Rqcd1	Cnot9
Ccdc108	Cfap65
Fam134a	Retreg2
A530032D15Rik	Sp140l1
C130026I21Rik	Sp140l2
Gm24148	Mir3535
1700019O17Rik	Tex44
3110079O15Rik	Snorc
Iqca	Iqca1
Fam132b	Erfe
Olfr1416	Or6b2
Olfr1415	Or6b2b
Olfr1414	Or6b3
Olfr1413	Or9s23
Olfr1412	Or9s27
Olfr1411	Or9s15
Olfr1410	Or9s14
Olfr12	Or9s13
Myeov2	Cops9
2310007B03Rik	Mab21l4
Sept2	Septin2
Gm9994	Gal3st2b
Gm6086	Gal3st2c
D1Ertd622e	Macir
2310035C23Rik	Relch
Epb4.1l5	Epb41l5
Dars	Dars1
Mfsd4	Mfsd4a
Chil1	Chi3l1
4933406M09Rik	Mgat4f
5730559C18Rik	Inava
Gm4788	Cfhr4
Trove2	Ro60
BC003331	Odr4
Fam129a	Niban1
BC026585	Cryzl2
Rfwd2	Cop1
4930469G21Rik	Tex50
7420461P10Rik	Myocos
Mettl11b	Ntmt2
BC055324	Firrm
Dusp27	Styxl2
Gm4846	Fmo13
1700084C01Rik	Ccdc190
1700015E13Rik	Spata46
Pvrl4	Nectin4
Cd244	Cd244a
Olfr16	Or10j5
Olfr1408	Or10j27
Olfr1406	Or10j7
Olfr218	Or10j3
Olfr1404	Or10j3b
Olfr418	Or10j2
BC094916	Ifi214
Pydc4	Ifi213
