"code"	"Description"
"PRI"	"primate sequences"
"ROD"	"rodent sequences"
"MAM"	"other mammalian sequences"
"VRT"	"other vertebrate sequences"
"INV"	"invertebrate sequences"
"PLN"	"plant, fungal, and algal sequences"
"BCT"	"bacterial sequences"
"VRL"	"viral sequences"
"PHG"	"bacteriophage sequences"
"SYN"	"synthetic sequences"
"UNA"	"unannotated sequences"
"EST"	"EST sequences (Expressed Sequence Tags)"
"PAT"	"patent sequences"
"STS"	"STS sequences (Sequence Tagged Sites)"
"GSS"	"GSS sequences (Genome Survey Sequences)"
"HTG"	"HTGS sequences (High Throughput Genomic sequences)"
"HTC"	"HTC sequences (High Throughput cDNA sequences)"
"ENV"	"Environmental sampling sequences"
"CON"	"Constructed sequences"
"TSA"	"Transcriptome Shotgun Assembly sequences"
